"RelativePath","Size","SHA256","FullPathToDelete"
"src\tools\guides\system\agent_builder_knowledge.md","4401","B9688E0E28789494D4800565EDBD350216F35BD37261738716F7141E3F4D9844","D:\Jianguoyun\Agent os\src\tools\guides\system\agent_builder_knowledge.md"
"src\triggers\actions\__init__.py","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","D:\Jianguoyun\Agent os\src\triggers\actions\__init__.py"
"src\triggers\triggers\__init__.py","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","D:\Jianguoyun\Agent os\src\triggers\triggers\__init__.py"
"frontend\src\config\themes\presets\light.ts","6948","4774E65A35ECA5BE31474950953F57A25638CDB0717B2DD684A7AD071104B23A","D:\Jianguoyun\Agent os\frontend\src\config\themes\presets\light.ts"
"frontend\src\styles\theme.css","1808","EBF10FD33C48BAF5CB717F1B9F30BF69E1425CE7F4C40F2A0A8AA5D502A27C1F","D:\Jianguoyun\Agent os\frontend\src\styles\theme.css"
"frontend\src\types\agentCall.ts","3505","AC9D2A2ED5AF32E0B52DD6E00641A7FC980BB01B9414D92FCEC55B6D6A9B3275","D:\Jianguoyun\Agent os\frontend\src\types\agentCall.ts"
"frontend\src\types\capabilities.ts","2579","DECB79AB5082CDC2AFA3390697AB3AFF3AC4DCBB8A9651043AA456944625233E","D:\Jianguoyun\Agent os\frontend\src\types\capabilities.ts"
"frontend\src\types\config.ts","941","8B95D484367AA37AB97F204465F06FD169B8AE8C8F3D2B3A4DA22DCFD1C4253D","D:\Jianguoyun\Agent os\frontend\src\types\config.ts"
"frontend\src\types\cost.ts","3790","9316731B2351E87E7813032CA25802CED0B00B8B991CAB3227BD76C29480F793","D:\Jianguoyun\Agent os\frontend\src\types\cost.ts"
"frontend\src\types\floating.ts","636","AD18A07F1916F2C97E7DA8D552B805BE43422A308A09F69FC306AF51F3714007","D:\Jianguoyun\Agent os\frontend\src\types\floating.ts"
"frontend\src\types\README.md","3824","DCA7659A9A7A037312561C71DF54387B7C63A8ED46967618CBD72224D7E39CFF","D:\Jianguoyun\Agent os\frontend\src\types\README.md"
"frontend\src\types\tool.ts","2735","039E5639C15079311A6EFDD23880246692FA4696CF95B3BB5C18E1107733C28C","D:\Jianguoyun\Agent os\frontend\src\types\tool.ts"
"frontend\src\types\trigger.ts","4232","7246C163A87E2C384614503F3DBEEF9A8CFF8F58821C43741B28D382BA7D244B","D:\Jianguoyun\Agent os\frontend\src\types\trigger.ts"
"frontend\src\types\voiceInput.ts","3792","E7DA5B3372B4D22FD899BC6D5C254D9CEB04971B058538FCCF1BF94F33FDD509","D:\Jianguoyun\Agent os\frontend\src\types\voiceInput.ts"
"frontend\src\utils\confirm.ts","1289","33D4BC11A6D4BB19252DDBD05F6696C96F19D723DAF0619AE7CABE58B614EA93","D:\Jianguoyun\Agent os\frontend\src\utils\confirm.ts"
"frontend\e2e\06-agent-components.spec.ts","19155","38343707AE4ED82BB25201F085B775A9D91190E7B6D3DADCCF7FC2FA4E268ED9","D:\Jianguoyun\Agent os\frontend\e2e\06-agent-components.spec.ts"
